grid_id,total_sms_activity,total_call_activity,total_internet_activity,total_activity
5161,22111.8562,15458.0512,237230.3882,274800.2956
5059,22296.9381,15522.6352,160148.7705,197968.3438
5758,9492.2861,6555.9564,127441.0282,143489.2707
5061,11429.9323,7646.3027,118359.2517,137435.4867
5955,7254.3985,7948.1145,120642.4426,135844.9556
5262,13093.9308,8033.8335,110195.1116,131322.87589999998
6064,15016.425,10646.1708,101156.3095,126818.9053
5162,11977.4647,7251.7104,105435.1466,124664.3217
4857,8057.2652,5750.7121,108183.8459,121991.8232
4856,7933.3106,5806.1242,100265.9022,114005.337
5458,6232.2949,4726.1809,102422.3359,113380.8117
4755,5701.8915,4255.9775,102314.144,112272.013
4654,6151.3189999999995,5057.4456,100311.3563,111520.1209
6073,7984.2065,6850.1378,95786.0787,110620.42300000001
5956,6364.963,6436.764700000001,96991.0285,109792.7562
5658,7223.3448,4959.8351999999995,94957.0177,107140.1977
6072,10299.032,10160.8623,86505.6984,106965.59270000001
5855,6493.4527,7002.0858,92670.306,106165.8445
5857,5333.856,4858.1912,95956.3986,106148.4458
5567,6716.1983,4995.9252,94077.9636,105790.0871
6169,6887.1022,5776.8819,90751.8648,103415.8489
4655,6243.0727,4877.1641,91705.5273,102825.7641
5959,6765.8399,4927.5404,90519.9785,102213.3588
4653,6064.2215,4834.3525,90932.1672,101830.7412
4457,5623.7311,4417.5937,91052.1493,101093.4741
4754,5427.9231,4353.8921,90716.3138,100498.129
4855,7413.4935000000005,5479.7021,87524.5722,100417.7678
5258,7238.488,4634.7106,88405.2731,100278.4717
6165,12030.802099999999,8758.7027,79468.10339999999,100257.6082
4456,5688.1483,4211.9758,90272.9056,100173.0297
5954,5636.3054,5687.7225,88392.7764,99716.8043
4556,7064.3375,5548.7898,85527.4021,98140.5294
5858,5710.6291,4977.4858,86426.1828,97114.2977
5856,4917.5712,4721.1741,87343.3648,96982.11009999999
5958,6002.5072,5217.2564,84737.876,95957.6396
5060,9163.9007,6537.8675,79807.6285,95509.3967
4554,5465.5037,4554.414,84403.4913,94423.409
5765,7073.2976,5536.7488,81121.7451,93731.7915
5854,5896.4734,5932.8314,81290.1029,93119.4077
4656,6506.2518,4926.1652,81595.6939,93028.1109
5967,7771.9742,5142.4854,79539.8223,92454.2819
4756,5820.0115,4075.5396,82531.1711,92426.7222
5159,9342.3256,6471.1023,76516.2883,92329.7162
6058,7069.5752999999995,6272.3938,78292.3621,91634.3312
5859,5732.9717,4287.4393,81308.5913,91329.00230000001
5259,4121.1932,2545.0127,84609.3411,91275.547
4553,5667.5375,5089.2699999999995,78930.0145,89686.822
4462,5445.6399,3778.3659,80325.0873,89549.0931
4555,6120.2341,4621.9443,78761.5863,89503.7647
5957,4710.3149,5200.4259999999995,79503.5536,89414.2945
6065,9141.650099999999,5679.1589,73597.3121,88418.1211
5766,7676.0858,5293.7785,74970.1956,87940.05990000001
6260,5140.4953,4094.4704,78260.8034,87495.7691
5659,7669.1984,5241.8216999999995,74127.7359,87038.756
5160,10017.043,6130.6331,70533.2743,86680.9504
6067,7844.6275000000005,5078.1013,72509.5151,85432.2439
4957,5207.4064,3784.015,75683.0306,84674.452
4366,6469.9701000000005,6253.4502999999995,70209.6753,82933.0957
5965,8709.4173,5080.9462,68810.8415,82601.205
5263,6964.2374,4146.4018,70901.9829,82012.6221
4465,4081.198,3010.2706,74764.4655,81855.9341
5461,5043.881,3622.5787,73178.7637,81845.2234
4959,6554.4415,3918.0395,71341.02219999999,81813.50319999999
5968,6029.9137,5049.6538,70523.6695,81603.237
6068,6760.8203,5229.2852,69036.5254,81026.6309
5759,6587.9391,4816.8360999999995,69167.6193,80572.3945
4948,11991.8774,4453.4846,63048.5061,79493.86809999999
6164,8697.3065,6340.5525,64416.7135,79454.5725
4648,4421.8207999999995,3663.5946,70666.576,78751.9914
6557,6912.2854,3774.6522,67634.0986,78321.0362
4757,5632.0013,3946.5687,68576.5297,78155.0997
4256,4309.9666,3260.4557,70427.6678,77998.0901
5256,4140.6251,3692.1730000000002,70093.629,77926.4271
4452,8704.9201,7196.9668,61880.5002,77782.3871
4453,7645.8817,6518.9146,63579.0228,77743.8191
5163,8387.2556,4623.8228,64652.4098,77663.48819999999
5866,6313.6744,3985.7531999999997,67338.2646,77637.6922
6358,3834.9,2574.7780000000002,71220.2173,77629.8953
6345,5154.5516,5461.8048,66836.0407,77452.3971
6558,7207.1164,4163.9574999999995,66034.83439999999,77405.9083
5361,5381.1032000000005,3499.2644,68413.4422,77293.8098
5467,4899.3389,3177.6525,68818.5442,76895.5356
4958,6259.9412,4712.2714,64874.601800000004,75846.8144
4548,5275.1761,4501.7838,65639.6605,75416.6204
5068,4924.3338,3637.3136999999997,66492.5827,75054.2302
4961,5345.198,4028.1729,65158.4415,74531.8124
6066,8285.3141,4790.4137,61258.8537,74334.5815
4968,4958.3227,3626.0593,65588.2133,74172.5953
5349,8985.5394,4104.2353,60975.691999999995,74065.46669999999
5072,6911.7607,3319.8965,62997.3801,73229.0373
5248,5212.1459,3864.7010999999998,63992.0799,73068.92689999999
5148,5408.1694,3747.7072,63905.5227,73061.3993
6074,4805.3854,3685.6639,64304.1887,72795.238
4758,5078.1185000000005,3542.109,63826.3877,72446.6152
5358,4793.1852,3481.9629,64059.3272,72334.4753
6371,5115.4578,4818.6805,61779.807199999996,71713.9455
4854,4292.981,3256.2012,64147.4894,71696.6716
4762,5068.0731,5069.3042,61357.5984,71494.9757
4455,4199.8994,2808.7128000000002,64427.8256,71436.4378
6268,6061.3051,4468.1544,60879.173,71408.6325
4960,6029.5414,3784.2884,61262.0437,71075.8735
6069,5814.093,4782.7636,60348.282699999996,70945.1393
6269,6241.4285,4591.7443,59333.0338,70166.2066
6460,4726.7023,3430.5113,61798.996699999996,69956.2103
5261,5175.4095,3009.3569,61578.8023,69763.5687
5367,4592.397,3081.8292,62063.3855,69737.6117
6265,9662.4859,7499.5197,52538.3617,69700.3673
5255,4316.4574,3531.2868,61782.317800000004,69630.062
4355,3997.5405,2670.2252,62726.2413,69394.007
5568,5194.9569,3780.453,60286.2873,69261.6972
5860,4830.564,3714.6221,60249.2155,68794.4016
6264,7474.5035,5505.6326,55753.1822,68733.3183
5867,4342.3288999999995,2890.5933,61034.1348,68267.057
4257,4051.5953999999997,2852.1205,60923.4614,67827.1773
4853,4699.1927,3888.1179,59207.119399999996,67794.43
4753,4931.7644,3464.1456,58941.3996,67337.3096
4559,4134.115,2921.6883,60047.235,67103.0383
4761,4827.4365,3726.0655,58288.556599999996,66842.0586
8169,5753.5272,5662.7136,55115.2065,66531.4473
5667,4149.599,3038.6403,59177.3385,66365.5778
4458,4447.3593,3284.1554,58633.9849,66365.4996
5147,4604.7874,3412.6016999999997,58308.0525,66325.4416
4972,10634.1786,2957.8685,52713.0672,66305.1143
4356,3575.1621,2577.1292,60058.1669,66210.4582
5868,3780.5429000000004,2987.867,59295.1285,66063.5384
4362,4755.3664,3095.1571,58203.707800000004,66054.2313
7164,4936.6693000000005,3606.2822,57218.503899999996,65761.4554
6372,4829.4622,4596.2072,56299.1261,65724.7955
5151,4085.4046,3265.5617,58030.1612,65381.1275
4459,4025.0114,2864.3993,58435.9153,65325.326
4956,4070.5335999999998,2582.8965,58651.3627,65304.7928
5767,3784.5764,2557.1783,58521.3729,64863.1276
5566,4535.8026,3662.5868,56568.1953,64766.5847
6560,4957.6468,3484.0704,56288.7074,64730.4246
6151,4297.977,3524.8062,56678.4742,64501.2574
5073,3893.7146000000002,3123.1184,57380.2711,64397.1041
5047,4618.4669,3120.3728,56522.2744,64261.1141
5769,4680.8626,3253.8309,55994.8937,63929.5872
4759,4204.4235,2624.6471,56950.2334,63779.304
6166,8448.083,6126.1492,49113.895300000004,63688.1275
6059,4656.1569,3306.6767,55690.031,63652.8646
5964,4365.4322,3051.0434,55989.0496,63405.5252
5368,4528.8588,2968.2752,55763.7686,63260.9026
5966,6837.8807,3766.0256,52577.0706,63180.9769
5670,4542.4855,3015.4955999999997,55006.9806,62564.9617
6674,4209.1925,3706.4846,54484.4461,62400.1232
5257,5136.3931,3839.4526,53365.2163,62341.062
5559,5456.3162999999995,3383.736,53423.3128,62263.3651
4561,4418.0597,2932.0633,54897.3465,62247.4695
4354,3533.4998,2350.4564,56197.0806,62081.0368
5760,4534.7257,3628.3807,53437.1861,61600.292499999996
4557,4715.4551,3733.7270000000003,52995.7448,61444.9269
6565,7612.7304,3644.3899,50144.7293,61401.8496
5143,5774.2878,3444.4031999999997,51998.6944,61217.3854
6457,4843.011,3235.5780999999997,53107.7782,61186.3673
4659,3960.9859,2477.1008,54707.2655,61145.3522
4156,3612.4078,2748.9369,54482.436,60843.780699999996
4861,4955.5833999999995,3988.3665,51888.6108,60832.5607
4860,5123.9127,2914.6698,52751.0033,60789.5858
4454,3458.0238,2400.6713,54918.6302,60777.3253
6051,4156.2335,3440.4833,53152.650200000004,60749.367
5757,3605.3391,3068.4292,53848.2468,60522.0151
5252,4571.9293,3341.0513,52554.5094,60467.49
6175,3715.6139,2846.0317,53777.7269,60339.3725
5861,3659.2617,3376.6565,53279.5268,60315.445
5761,3847.5963,2963.337,52757.8587,59568.792
6458,4761.8716,3168.7687,51294.2378,59224.8781
4363,3809.5268,2778.516,52532.0108,59120.0536
6772,3753.2218000000003,2578.1032,52733.2446,59064.5696
5669,4397.3691,3140.8057,51398.9965,58937.1713
5653,3781.4354,3004.8208,52147.4504,58933.7066
5770,3919.1493,2651.2519,52218.9941,58789.3953
5753,4176.1563,3647.5909,50902.5447,58726.2919
5754,4512.3667000000005,3920.3302,50268.2923,58700.989199999996
6174,4146.7407,3199.5337,51271.6541,58617.9285
6050,4344.5242,3453.9817,50760.0768,58558.5827
5953,3754.1917,3331.1426,51407.945700000004,58493.28
5269,2888.8179,2607.6803999999997,52749.9593,58246.4576
5069,4166.3388,2936.0062,51105.7467,58208.091700000004
4858,4468.4591,2906.2919,50672.1007,58046.8517
5348,5920.8059,3521.9648,48478.201499999996,57920.9722
5268,3310.5686,2904.7798,51519.5691,57734.917499999996
4969,3414.9483999999998,2547.1218,51718.5124,57680.5826
4955,3346.4946,2694.7597,51596.7282,57637.9825
4652,4046.5831,3079.4494999999997,50490.4988,57616.5314
4558,4377.0988,3027.2325,50184.261,57588.5923
5158,4196.8233,3061.5486,50099.4029,57357.7748
4155,3261.4497,2554.4251,51239.73,57055.6048
5468,3801.4685,2705.888,50104.0644,56611.4209
4461,3391.7577,2428.5911,50726.5329,56546.8817
5755,3714.535,3476.5143,49314.957800000004,56506.0071
5969,4345.2843,3572.8544,48538.1515,56456.2902
5662,3313.9894,2399.6298,50676.071,56389.6902
5963,3119.9514,2488.864,50703.8921,56312.707500000004
5267,3269.4208,2964.6801,49940.1982,56174.2991
5249,4599.0422,3291.1942,48151.6962,56041.9326
6657,3665.8502,3083.4637000000002,49171.9326,55921.2465
7163,4371.6156,3189.5965,48297.0894,55858.3015
5970,4383.2602,3205.8904,48213.8582,55803.0088
4255,3210.0998,2448.2541,50059.6613,55718.0152
5869,3968.9685,2842.5175,48678.7086,55490.194599999995
5048,6608.0821,2926.3869,45908.9849,55443.4539
4760,3897.8009,2662.4091,48635.0835,55195.2935
5359,3428.1571,2576.387,48803.491500000004,54808.0356
4647,3220.1805,2756.3041000000003,48715.2232,54691.707800000004
5156,3089.1674,2383.502,49097.6283,54570.297699999996
4547,3518.8170999999998,2891.2854,48052.2829,54462.3854
5172,3380.0979,2575.3957,48275.3546,54230.8482
4660,3581.589,2491.6593,48075.0628,54148.3111
6172,3710.1407,2474.5873,47830.980299999996,54015.7083
4364,2863.2059,3388.2237999999998,47588.450600000004,53839.880300000004
4954,3429.855,2773.3136,47535.7466,53738.9152
4254,3206.126,2318.448,48205.938500000004,53730.5125
6070,4173.6014000000005,3154.5892,46374.3468,53702.5374
6977,3253.3303,2502.9493,47921.089100000005,53677.368700000006
5661,3879.2155000000002,2925.6971,46781.7942,53586.7068
6559,5156.8777,3722.7761,44686.221900000004,53565.8757
4466,3058.96,2330.9375,48156.0083,53545.9058
4359,3284.2262,2215.4121999999998,48021.861600000004,53521.5
5251,4058.88,3165.8393,46286.734599999996,53511.4539
5459,4434.5526,3081.6759,45904.904,53421.1325
5155,4369.4689,3283.651,45565.119099999996,53218.239
5974,3856.3362,2619.5604,46736.4335,53212.3301
3856,4833.6615,2536.9483,45712.4089,53083.0187
4967,3913.3085,3225.1934,45735.5523,52874.0542
5270,2954.8026,2349.3882,47532.2129,52836.4037
6368,5056.2635,3893.4081,43816.2205,52765.8921
6168,4328.0086,2885.3799,45468.936700000006,52682.3252
5952,3814.123,2774.1621,45970.148,52558.4331
6274,3801.0158,3069.8601,45574.1045,52444.9804
5372,4462.6247,4305.303,43586.5518,52354.4795
5870,3989.1742,2688.8759999999997,45668.030699999996,52346.0809
6352,3296.4222,2367.7076,46679.2408,52343.3706
5668,3787.381,2741.5694,45777.7495,52306.6999
4971,8492.8019,2329.3563,41419.5719,52241.7301
3857,4486.0571,3303.4880000000003,44358.3942,52147.9393
5865,4204.4744,3065.6447,44790.8118,52060.9309
6374,3555.0755,3195.3748,45252.4473,52002.8976
6459,4537.5005,3190.8908,44187.868,51916.2593
7077,3174.0075,2482.4036,46226.8918,51883.3029
4157,3385.6688,2466.8131,45955.2532,51807.7351
3956,5393.8803,2540.1188,43800.331399999995,51734.3305
5862,3844.7641,5762.2424,42072.5228,51679.529299999995
6075,3512.5245,2641.5206,45485.9696,51640.0147
4953,3519.1831,3123.9501,44898.4234,51541.5566
4460,3312.5552,2352.0021,45746.3995,51410.9568
5453,2519.7417,2002.8276,46868.4353,51391.0046
6063,3098.4251,2277.5137,45978.2903,51354.2291
4369,3443.8703,2495.214,45307.4341,51246.5184
5853,3601.1358,3520.0386999999996,44069.7624,51190.9369
5254,3594.4969,2706.0103,44840.7627,51141.2699
5062,5249.5372,3501.1811,42346.8437,51097.562
5170,3178.6050999999998,2374.9326,45497.845199999996,51051.3829
6370,4118.0597,3751.0288,43147.4429,51016.5314
6158,3949.0233,3272.7473999999997,43570.7157,50792.4864
5362,2937.9779,1997.1216,45835.9277,50771.0272
6373,3229.1122,2641.146,44828.8893,50699.1475
5168,3551.212,2898.2718,44229.760800000004,50679.2446
6149,3439.5018,3042.6181,44166.2993,50648.4192
3757,3515.3154,2523.0691,44545.7128,50584.0973
5149,3871.5808,2850.5472,43788.5027,50510.6307
6757,3458.2711,2937.1317,44111.5292,50506.932
5560,4260.2462000000005,3180.5379,42902.7328,50343.5169
6273,3173.0043,2524.4494,44569.847,50267.3007
5462,2885.6254,2009.6981,45204.7338,50100.0573
4549,3672.8755,2859.2798,43493.3827,50025.538
5070,3237.9029,2329.4719,44452.5041,50019.878899999996
4658,4053.4858,2560.0372,43365.6196,49979.1426
5460,4326.0751,2593.2527,42931.6294,49850.9572
6762,3311.5244,2976.6945,43547.7955,49836.0144
4560,3508.3439,2315.9715,43946.2074,49770.5228
5660,4282.5958,3636.7934999999998,41830.1415,49749.5308
5562,3386.1522999999997,2247.6769,44075.8532,49709.6824
4546,3386.5194,2608.2023,43424.7045,49419.4262
5058,3674.3886,2847.6795,42775.565,49297.6331
6671,3447.0202,2659.0044,43182.3641,49288.3887
5154,3732.5625,2735.3414000000002,42736.6396,49204.5435
4849,3900.0221,3003.5634,42294.1695,49197.755
4949,4401.1585000000005,2983.6515,41714.9285,49099.7385
5960,3331.093,2649.4992,43077.5675,49058.1597
4962,3364.1259,2845.5086,42841.6225,49051.257
6672,3196.9456,2317.681,43230.0076,48744.6342
5570,4605.6047,2888.2422,41180.469,48674.3159
